id,porosity_aux,pressure,rho_aux,superficial_u,x,y,z
0,1,9.8609512208101e-05,9.9583333333333e-05,1.0012341542728,0,0.5,0
0.20408163265306,1,9.8846302162207e-05,9.875e-05,1.0077179266238,0.20408163265306,0.5,0
0.40816326530612,1,9.7672925502233e-05,9.7916666666667e-05,1.0171574010229,0.40816326530612,0.5,0
0.61224489795918,1,9.686341709063e-05,9.7083333333333e-05,1.0257415943395,0.61224489795918,0.5,0
0.81632653061224,1,9.5999511008205e-05,9.625e-05,1.0346238242822,0.81632653061224,0.5,0
1.0204081632653,1,9.4216576955032e-05,9.4583333333333e-05,1.0528613301028,1.0204081632653,0.5,0
1.2244897959184,1,9.3302750908877e-05,9.375e-05,1.0622207249456,1.2244897959184,0.5,0
1.4285714285714,1,9.2372713358807e-05,9.2916666666667e-05,1.0717477425087,1.4285714285714,0.5,0
1.6326530612245,1,9.1426040672612e-05,9.2083333333333e-05,1.0814470627935,1.6326530612245,0.5,0
1.8367346938776,1,8.9480869776572e-05,9.0416666666667e-05,1.1013819455989,1.8367346938776,0.5,0
2.0408163265306,1,8.8481426534835e-05,8.9583333333333e-05,1.1116274883371,2.0408163265306,0.5,0
2.2448979591837,1,8.7463412461361e-05,8.875e-05,1.1220654086084,2.2448979591837,0.5,0
2.4489795918367,1,8.642630531716e-05,8.7916666666667e-05,1.1327011828318,2.4489795918367,0.5,0
2.6530612244898,1,8.5369562963548e-05,8.7083333333333e-05,1.1435404957905,2.6530612244898,0.5,0
2.8571428571429,1,8.3194899466796e-05,8.5416666666667e-05,1.1658535807055,2.8571428571429,0.5,0
3.0612244897959,1,8.2075786370787e-05,8.4583333333333e-05,1.1773398594145,3.0612244897959,0.5,0
3.265306122449,1,8.0934651985845e-05,8.375e-05,1.1890547140323,3.265306122449,0.5,0
3.469387755102,1,7.9770839958106e-05,8.2916666666667e-05,1.2010050377048,3.469387755102,0.5,0
3.6734693877551,1,7.7372424506601e-05,8.125e-05,1.225641077354,3.6734693877551,0.5,0
3.8775510204082,1,7.6136371237774e-05,8.0416666666667e-05,1.2383420362734,3.8775510204082,0.5,0
4.0816326530612,1,7.4874737715074e-05,7.9583333333333e-05,1.2513089816524,4.0816326530612,0.5,0
4.2857142857143,1,7.3586721672182e-05,7.875e-05,1.2645503579866,4.2857142857143,0.5,0
4.4897959183673,1,7.2271486944828e-05,7.7916666666667e-05,1.2780749709386,4.4897959183673,0.5,0
4.6938775510204,1,6.9555836318035e-05,7.625e-05,1.3060110537092,4.6938775510204,0.5,0
4.8979591836735,1,6.8153561723694e-05,7.5416666666667e-05,1.3204421230513,4.8979591836735,0.5,0
5.1020408163265,1,6.6720346814749e-05,7.4583333333333e-05,1.335195673937,5.1020408163265,0.5,0
5.3061224489796,1,6.5255156319257e-05,7.375e-05,1.3502826380893,5.3061224489796,0.5,0
5.5102040816327,1,6.2224471316179e-05,7.2083333333333e-05,1.3815030605254,5.5102040816327,0.5,0
5.7142857142857,1,6.0656661927299e-05,7.125e-05,1.3976609983922,5.7142857142857,0.5,0
5.9183673469388,1,5.9052241295798e-05,7.0416666666667e-05,1.4142013727191,5.9183673469388,0.5,0
6.1224489795918,1,5.7409912100365e-05,6.9583333333333e-05,1.4311379238013,6.1224489795918,0.5,0
6.3265306122449,1,5.5728315004871e-05,6.875e-05,1.4484850581202,6.3265306122449,0.5,0
6.530612244898,1,5.224154692262e-05,6.7083333333333e-05,1.484472281602,6.530612244898,0.5,0
6.734693877551,1,5.0433312043671e-05,6.625e-05,1.5031448979967,6.734693877551,0.5,0
6.9387755102041,1,4.857967250702e-05,6.5416666666667e-05,1.5222932501547,6.9387755102041,0.5,0
7.1428571428571,1,4.6678896784176e-05,6.4583333333333e-05,1.5419357536388,7.1428571428571,0.5,0
7.3469387755102,1,4.2728559089906e-05,6.2916666666667e-05,1.5827817548079,7.3469387755102,0.5,0
7.5510204081633,1,4.0675064563047e-05,6.2083333333333e-05,1.6040271576967,7.5510204081633,0.5,0
7.7551020408163,1,3.856655595427e-05,6.125e-05,1.6258506663272,7.7551020408163,0.5,0
7.9591836734694,1,3.6400792359825e-05,6.0416666666667e-05,1.6482761982853,7.9591836734694,0.5,0
8.1632653061224,1,3.4175413222293e-05,5.9583333333333e-05,1.6713290203396,8.1632653061224,0.5,0
8.3673469387755,1,2.9535694220912e-05,5.7916666666667e-05,1.7194248412801,8.3673469387755,0.5,0
8.5714285714286,1,2.7115833098783e-05,5.7083333333333e-05,1.7445255752104,8.5714285714286,0.5,0
8.7755102040816,1,2.4625880810152e-05,5.625e-05,1.7703713290646,8.7755102040816,0.5,0
8.9795918367347,1,2.2060896811559e-05,5.5416666666667e-05,1.7969892693448,8.9795918367347,0.5,0
9.1836734693878,1,1.6688264788591e-05,5.375e-05,1.8526713929985,9.1836734693878,0.5,0
9.3877551020408,1,1.3936097018093e-05,5.2916666666667e-05,1.8820274025098,9.3877551020408,0.5,0
9.5918367346939,1,1.0856022217219e-05,5.2083333333333e-05,1.9115033324641,9.5918367346939,0.5,0
9.7959183673469,1,8.4933798496489e-06,5.125e-05,1.9445368596202,9.7959183673469,0.5,0
10,1,3.8552337529772e-06,5.0416666666667e-05,1.9740293002997,10,0.5,0
